product_id,title,product_description,rating,ratings_count,initial_price,discount,currency,delivery_options,product_details,seller_name,category,total_amount_to_be_paid
8376765,Lino Perros,Women Navy Blue Solid Backpack,3.8,15,3995,58.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Navy Blue solid backpackNon-Padded haul loop1 main compartment with flap and button closureNon-Padded backPadded shoulder strap: Non-PaddedWater-resistance: No"",""material_and_care"":""Synthetic Leather. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 34 cm. Width: 33 cm. Depth: 14 cm. Volume: 15.7 litres""}",Unknown seller,backpacks,1677.9
9136281,Tommy Hilfiger,Unisex Navy Blue Striped Backpack,4.5,67,2899,35.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded Mesh backZip PocketPadded shoulder strap: PaddedWater-resistance: YesWarranty: 2 yearsWarranty provided by brand/manufacturer"",""material_and_care"":""Polyester. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 47 cm. Width: 31 cm. Depth: 14 cm. Laptop Sleeve: 36 cm ( Can hold upto 15 inch laptop)""}",Unknown seller,backpacks,1884.35
17633752,Lavie,Aries Women Pink Mini Backpack,4.4,226,2999,65.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Pink solid backpacks  Non-padded sternum shoulder straps, has 1 main compartment with zip closure,  Zip pocket,   Non-padded back  Water Resistance: no "",""material_and_care"":""Material: Synthetic. Wipe with a damp cloth"",""size_and_fit"":""Dimensions:&nbsp;28.5 X 23.5 X 11 cm. Volume: Up to 23 Litres. Laptop compartment can hold laptop""}",Unknown seller,backpacks,1049.6499999999999
1376949,F Gear,Unisex Navy & Grey Printed Burner Backpack,4.4,1052,1675,52.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Navy and grey printed backpackOne haul loop, two padded and adjustable shoulder strapsTwo main zip compartments, one with a slip pocket and the other with two slip pocketsTwo slip pockets on the frontA zip pocket on either sideWarranty: 1 year against manufacturing defects"",""material_and_care"":""Polyester. Wipe with a clean, dry cloth when needed"",""size_and_fit"":""Height: 45 cm. Width: 31 cm. Depth: 20 cm""}",Unknown seller,backpacks,804.0
13939916,MYTRIDENT,Men Blue Solid Bath Robe,4.7,12,2899,17.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Blue solid bath robe, has a shawl collar with an open front, three-quarter sleeves, two patch pockets on the front, and belt loops on either side of the waistComes with a fabric beltFeatures:Highly absorbentBreathableRemain soft after multiple wash and dry cycles"",""material_and_care"":""Terry cotton. Warm machine-wash. Wash separately on first use. Do not bleach. Line dry in shade. Do not iron. Do not dry clean"",""size_and_fit"":""The model (height (6') is wearing size M""}",Unknown seller,bath-robe,2406.17
17198778,H&M,Beige & Tan Solid Stoneware Soap Dispenser,4.5,42,1399,56.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges""]","{""description"":""Soap dispenser in glazed stoneware with a plastic pump."",""material_and_care"":""100% Stoneware. Wipe with a damp cloth to remove the dust"",""size_and_fit"":""Dimension:. Diameter 8 cm.. Height excluding pump 13 cm.""}",H &███Hen███ & █████████eta█████████████████████,bathroom-accessories,615.56
19851824,AVI Living,Grey Solid 500 GSM Pure Cotton Bath Towel,4.0,5,1399,65.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Set content: 1 Bath TowelFeature: OEKO-TEX 100 Certified to be Free from Harmful ChemicalsMaterial: 100% CottonGSM: 500Colour: Grey"",""material_and_care"":""Cotton. Machine wash cold, gentle cycle. Do not bleach. Tumble dry low, delicate cycle. Remove promptly or line dry."",""size_and_fit"":""Dimensions: 142.24 cm x 76.2 cm (Length x Width)""}",Unknown seller,bath-towels,489.65
18602872,My Room,Yellow & Green Floral 140 TC King Bedsheet with 2 Pillow Covers,4.7,10,2999,54.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges""]","{""description"":""Set content: 1 king bedsheet with 2 pillow covers  Quality: fine  Thread count: 140  Colour: yellow and green  Pattern: floral"",""material_and_care"":""Cotton. Machine wash cold. Wash dark colours seperately. Do not soak. Do not bleach, tumble dry low , warm iron if necessary"",""size_and_fit"":""1N King bedsheet 2.74 metre x 2.74 metre &amp; 2N Pillow Covers 43cms x 68cms""}",Unknown seller,bedsheets,1379.54
18602850,My Room,Ethnic Print 144 TC Super King Bedsheet with 2 Pillow Covers,4.5,22,2999,54.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges""]","{""description"":""Dimensions: Super King bedsheet 2.74 metre x 2.74 metre & 2N Pillow Covers 43cms x 68cms"",""material_and_care"":""Machine wash cold. Wash dark colours seperately. Do not soak. Do not bleach, tumble dry low , warm iron if necessary"",""size_and_fit"":""/""}",Unknown seller,bedsheets,1379.54
8961147,Story@home,Pink & White Floral 160 TC Cotton 1 King Bedsheet with 2 Pillow Covers,3.7,7,2199,53.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges""]","{""description"":""Set content: 1 King bedsheet with 2 pillow coversQuality: RegularThread count: 160Colour: Pink and WhitePattern: Floral"",""material_and_care"":""100% Cotton. Machine-wash"",""size_and_fit"":""King bedsheet: 2.7 metres&nbsp;x 2.7 metres (length x width). Pillow covers: 69 cm x 46 cm (length x width)""}",Unknown seller,bedsheets,1033.53
